# Dutch confusion sets
# Line format:
# <word1>|<description1>; <word2>|<description2>; <factor>   # optional comment
#   <word1> and <word2> are words that can easily be confused
#   <description> will be used in the error message to explain the word (optional)
#   <factor> is the factor of how much more the other word must be more
#            probable so the text is considered potentially incorrect.
#            Use a higher value for better precision but lower recall.
#   Precision (p) and recall (r) values in the comments come from ConfusionRuleEvaluator
#   The number after recall is the number of sentences used for evaluation.
# Order is relevant for ambiguous cases like 'know' ('no' or 'now') where the match
# is used whose pair comes first in this file.
# 
bereiden|klaarmaken; berijden|rijden op; 1000000;       # p=1.000, r=0.252, 648+106, 3grams, 2019-01-02
boord|kraag; bord|plank, etensbord; 1000000;       # p=1.000, r=0.365, 979+929, 3grams, 2019-01-02
camp|ouderwets; kamp|groep tenten; 10000;         # p=1.000, r=0.550, 56+741, 3grams, 2019-01-02
canon|leerstof, zang; kanon|schiettuig; 10000;         # p=1.000, r=0.189, 429+616, 3grams, 2019-01-02
cola|drank; kola|boomsoort; 10000;         # p=1.000, r=0.355, 93+0, 3grams, 2019-01-02
col|kraag, heuvel; kol|heks; 10000;         # p=1.000, r=0.106, 118+42, 3grams, 2019-01-02
deur|doorgang; dur|muziekterm; 1000000;       # p=0.994, r=0.722, 979+13, 3grams, 2019-01-02
deuren|doorgangen; duren|tijd kosten; 10000;         # p=0.999, r=0.802, 968+961, 3grams, 2019-01-02
faas|term heraldiek, schuinte beitel; vaas|bloempot; 10;  # p=0.994, r=0.873, 1+188, 3grams, 2019-01-02
fat|dandy; vat|ton; 10000;         # p=1.000, r=0.579, 25+562, 3grams, 2019-01-02
fee|sprookjesfiguur; vee|dieren; 1000000;       # p=0.996, r=0.249, 158+828, 3grams, 2019-01-02
fel|heftig; vel|huid; 1000;          # p=0.999, r=0.630, 969+353, 3grams, 2019-01-02
fier|dapper; vier|4; 10000;         # p=0.998, r=0.707, 47+737, 3grams, 2019-01-02
finnen|blaaswormen; vinnen|van vis; 10000;         # p=1.000, r=0.315, 0+232, 3grams, 2019-01-02
fin|blaasworm; vin|van vis; 10000;         # p=1.000, r=0.222, 188+114, 3grams, 2019-01-02
floor|vloer; flor|schimmellaag; 10000;         # p=1.000, r=0.109, 37+18, 3grams, 2019-01-02
folk|muziekstijl; volk|mensen; 1000000;       # p=0.997, r=0.356, 261+825, 3grams, 2019-01-02
fond|bouillon; vond|van vinden; 10000;         # p=1.000, r=0.688, 32+985, 3grams, 2019-01-02
form|formulier; vorm|uiterlijk; 1000000;       # p=0.998, r=0.624, 60+956, 3grams, 2019-01-02
forst|meest fors; vorst|kou, heerser; 10000;         # p=1.000, r=0.726, 1+812, 3grams, 2019-01-02
frezen|uitslijpen; vrezen|bang zijn; 1000;          # p=0.995, r=0.688, 50+235, 3grams, 2019-01-02
fries|versiersel; vries|bevries; 10000;         # p=1.000, r=0.258, 28+3, 3grams, 2019-01-02
geld|munten; geldt|is geldig; 1000000;       # p=1.000, r=0.357, 922+961, 3grams, 2019-01-02
grafen|schema; graven|begraafplekken; 1000000;       # p=0.989, r=0.412, 48+857, 3grams, 2019-01-02
hoorde|van horen; horde|hindernis; 10000;         # p=1.000, r=0.479, 991+55, 3grams, 2019-01-02
